en_name	sci_name	pl_name	notes
White-faced Whistling-Duck	Dendrocygna viduata	drzewica białolica	Rare/Accidental
Fulvous Whistling-Duck	Dendrocygna bicolor	drzewica dwubarwna	Uncertain origin
Bar-headed Goose	Anser indicus	gęś tybetańska	Introduced species
Snow Goose	Anser caerulescens	śnieżyca duża	Rare/Accidental
Ross's Goose	Anser rossii	śnieżyca mała	Rare/Accidental
Graylag Goose	Anser anser	gęgawa	
Greater White-fronted Goose	Anser albifrons	gęś białoczelna	
Lesser White-fronted Goose	Anser erythropus	gęś mała	Vulnerable
Taiga Bean-Goose	Anser fabalis	gęś zbożowa	
Tundra Bean-Goose	Anser serrirostris	gęś tundrowa	
Pink-footed Goose	Anser brachyrhynchus	gęś krótkodzioba	
Brant	Branta bernicla	bernikla obrożna	
Barnacle Goose	Branta leucopsis	bernikla białolica	
Cackling Goose	Branta hutchinsii	bernikla północna	Rare/Accidental
Canada Goose	Branta canadensis	bernikla kanadyjska	Introduced species
Red-breasted Goose	Branta ruficollis	bernikla rdzawoszyja	Vulnerable
Mute Swan	Cygnus olor	łabędź niemy	
Tundra Swan	Cygnus columbianus	łabędź czarnodzioby	
Whooper Swan	Cygnus cygnus	łabędź krzykliwy	
Egyptian Goose	Alopochen aegyptiaca	gęsiówka egipska	
Ruddy Shelduck	Tadorna ferruginea	kazarka rdzawa	
Common Shelduck	Tadorna tadorna	ohar	
Wood Duck	Aix sponsa	karolinka	Introduced species
Mandarin Duck	Aix galericulata	mandarynka	Introduced species
Baikal Teal	Sibirionetta formosa	bajkałówka	
Garganey	Spatula querquedula	cyranka	
Blue-winged Teal	Spatula discors	cyranka modroskrzydła	Rare/Accidental
Northern Shoveler	Spatula clypeata	płaskonos	
Gadwall	Mareca strepera	krakwa	
Falcated Duck	Mareca falcata	czuprynka	
Eurasian Wigeon	Mareca penelope	świstun	
American Wigeon	Mareca americana	świstun amerykański	Rare/Accidental
Eastern Spot-billed Duck	Anas zonorhyncha	kaczka chińska	Uncertain origin
Mallard	Anas platyrhynchos	krzyżówka	
American Black Duck	Anas rubripes	brązówka	Rare/Accidental
Northern Pintail	Anas acuta	rożeniec	
Green-winged Teal	Anas crecca	cyraneczka	
Marbled Duck	Marmaronetta angustirostris	marmurka	Near-threatened
Red-crested Pochard	Netta rufina	hełmiatka	
Canvasback	Aythya valisineria	głowienka długodzioba	Rare/Accidental
