en_name	sci_name	pl_name	notes
Bar-headed Goose	Anser indicus	gęś tybetańska	Niepewne pochodzenie
Snow Goose	Anser caerulescens	śnieżyca duża	Niepewne pochodzenie
Ross's Goose	Anser rossii	śnieżyca mała	Niepewne pochodzenie
Graylag Goose	Anser anser	gęgawa	
Greater White-fronted Goose	Anser albifrons	gęś białoczelna	
Lesser White-fronted Goose	Anser erythropus	gęś mała	Rzadki/Sporadyczny Potencjalnie zagrozony
Taiga Bean-Goose	Anser fabalis	gęś zbożowa	
Tundra Bean-Goose	Anser serrirostris	gęś tundrowa	
Pink-footed Goose	Anser brachyrhynchus	gęś krótkodzioba	
Brant	Branta bernicla	bernikla obrożna	Rzadki/Sporadyczny
Barnacle Goose	Branta leucopsis	bernikla białolica	
Cackling Goose	Branta hutchinsii	bernikla północna	Niepewne pochodzenie
Canada Goose	Branta canadensis	bernikla kanadyjska	Wprowadzony gatunek
Red-breasted Goose	Branta ruficollis	bernikla rdzawoszyja	Rzadki/Sporadyczny Potencjalnie zagrozony
Mute Swan	Cygnus olor	łabędź niemy	
Tundra Swan	Cygnus columbianus	łabędź czarnodzioby	
Whooper Swan	Cygnus cygnus	łabędź krzykliwy	
Egyptian Goose	Alopochen aegyptiaca	gęsiówka egipska	Wprowadzony gatunek
Ruddy Shelduck	Tadorna ferruginea	kazarka rdzawa	Rzadki/Sporadyczny
Common Shelduck	Tadorna tadorna	ohar	
Wood Duck	Aix sponsa	karolinka	Wprowadzony gatunek
Mandarin Duck	Aix galericulata	mandarynka	Wprowadzony gatunek
Baikal Teal	Sibirionetta formosa	bajkałówka	Niepewne pochodzenie
Garganey	Spatula querquedula	cyranka	
Blue-winged Teal	Spatula discors	cyranka modroskrzydła	Rzadki/Sporadyczny
Northern Shoveler	Spatula clypeata	płaskonos	
Gadwall	Mareca strepera	krakwa	
Falcated Duck	Mareca falcata	czuprynka	Niepewne pochodzenie
Eurasian Wigeon	Mareca penelope	świstun	
American Wigeon	Mareca americana	świstun amerykański	Rzadki/Sporadyczny
Mallard	Anas platyrhynchos	krzyżówka	
Northern Pintail	Anas acuta	rożeniec	
Green-winged Teal	Anas crecca	cyraneczka	
Marbled Duck	Marmaronetta angustirostris	marmurka	Niepewne pochodzenie Prawie zagrozony
Red-crested Pochard	Netta rufina	hełmiatka	
Common Pochard	Aythya ferina	głowienka	Potencjalnie zagrozony
Ring-necked Duck	Aythya collaris	czerniczka	Rzadki/Sporadyczny
Ferruginous Duck	Aythya nyroca	podgorzałka	Prawie zagrozony
Tufted Duck	Aythya fuligula	czernica	
Greater Scaup	Aythya marila	ogorzałka	
Lesser Scaup	Aythya affinis	ogorzałka mała	Rzadki/Sporadyczny
Steller's Eider	Polysticta stelleri	birginiak	Rzadki/Sporadyczny Potencjalnie zagrozony
King Eider	Somateria spectabilis	turkan	Rzadki/Sporadyczny
Common Eider	Somateria mollissima	edredon	Prawie zagrozony
Harlequin Duck	Histrionicus histrionicus	kamieniuszka	Rzadki/Sporadyczny
Surf Scoter	Melanitta perspicillata	uhla pstrodzioba	Rzadki/Sporadyczny
Velvet Scoter	Melanitta fusca	uhla	Potencjalnie zagrozony
White-winged Scoter	Melanitta deglandi	uhla garbonosa	Rzadki/Sporadyczny
Stejneger's Scoter	Melanitta stejnegeri	uhla azjatycka	Rzadki/Sporadyczny
Common Scoter	Melanitta nigra	markaczka	
Black Scoter	Melanitta americana	markaczka amerykańska	Rzadki/Sporadyczny Prawie zagrozony
Long-tailed Duck	Clangula hyemalis	lodówka	Potencjalnie zagrozony
Bufflehead	Bucephala albeola	gągołek	Niepewne pochodzenie
Common Goldeneye	Bucephala clangula	gągoł	
Barrow's Goldeneye	Bucephala islandica	sierpiec	Niepewne pochodzenie
Smew	Mergellus albellus	bielaczek	
Hooded Merganser	Lophodytes cucullatus	kapturnik	Niepewne pochodzenie
Common Merganser	Mergus merganser	nurogęś	
Red-breasted Merganser	Mergus serrator	szlachar	
Ruddy Duck	Oxyura jamaicensis	sterniczka jamajska	Wprowadzony gatunek
White-headed Duck	Oxyura leucocephala	sterniczka	Rzadki/Sporadyczny Zagrozony
Hazel Grouse	Tetrastes bonasia	jarząbek	
Willow Ptarmigan	Lagopus lagopus	pardwa mszarna	Rzadki/Sporadyczny
Western Capercaillie	Tetrao urogallus	głuszec	
Black Grouse	Lyrurus tetrix	cietrzew	
Gray Partridge	Perdix perdix	kuropatwa	
Ring-necked Pheasant	Phasianus colchicus	bażant (zwyczajny)	Wprowadzony gatunek
Common Quail	Coturnix coturnix	przepiórka	
Rock Pigeon	Columba livia	gołąb skalny	
Stock Dove	Columba oenas	siniak	
Common Wood-Pigeon	Columba palumbus	grzywacz	
European Turtle-Dove	Streptopelia turtur	turkawka	Potencjalnie zagrozony
Oriental Turtle-Dove	Streptopelia orientalis	turkawka wschodnia	Rzadki/Sporadyczny
Eurasian Collared-Dove	Streptopelia decaocto	sierpówka (zwyczajna)	
Laughing Dove	Spilopelia senegalensis	synogarlica senegalska	Niepewne pochodzenie
Namaqua Dove	Oena capensis	turkaweczka czarnogardła	Niepewne pochodzenie
Pallas's Sandgrouse	Syrrhaptes paradoxus	pustynnik	Rzadki/Sporadyczny
Great Bustard	Otis tarda	drop	Zagrozony
Asian Houbara	Chlamydotis macqueenii	hubara arabska	Rzadki/Sporadyczny Potencjalnie zagrozony
Little Bustard	Tetrax tetrax	strepet	Rzadki/Sporadyczny Prawie zagrozony
Great Spotted Cuckoo	Clamator glandarius	kukułka czubata	Rzadki/Sporadyczny
Northern Hawk-Cuckoo	Hierococcyx hyperythrus	kukułka amurska	Rzadki/Sporadyczny
Common Cuckoo	Cuculus canorus	kukułka	
Eurasian Nightjar	Caprimulgus europaeus	lelek	
Alpine Swift	Tachymarptis melba	jerzyk alpejski	Rzadki/Sporadyczny
Common Swift	Apus apus	jerzyk	
Pallid Swift	Apus pallidus	jerzyk blady	Rzadki/Sporadyczny
Water Rail	Rallus aquaticus	wodnik	
Corn Crake	Crex crex	derkacz	
Spotted Crake	Porzana porzana	kropiatka	
Eurasian Moorhen	Gallinula chloropus	kokoszka	
Eurasian Coot	Fulica atra	łyska	
Western Swamphen	Porphyrio porphyrio	modrzyk (zwyczajny)	Niepewne pochodzenie
Little Crake	Zapornia parva	zielonka	
Baillon's Crake	Zapornia pusilla	karliczka	Rzadki/Sporadyczny
Demoiselle Crane	Anthropoides virgo	żuraw stepowy	Rzadki/Sporadyczny
Sandhill Crane	Antigone canadensis	żuraw kanadyjski	Rzadki/Sporadyczny
Common Crane	Grus grus	żuraw	
Eurasian Thick-knee	Burhinus oedicnemus	kulon	
Black-winged Stilt	Himantopus himantopus	szczudłak	
Pied Avocet	Recurvirostra avosetta	szablodziób	
Eurasian Oystercatcher	Haematopus ostralegus	ostrygojad	Prawie zagrozony
Black-bellied Plover	Pluvialis squatarola	siewnica	Potencjalnie zagrozony
European Golden-Plover	Pluvialis apricaria	siewka złota	
American Golden-Plover	Pluvialis dominica	siewka szara	Rzadki/Sporadyczny
Pacific Golden-Plover	Pluvialis fulva	siewka złotawa	Rzadki/Sporadyczny
Eurasian Dotterel	Eudromias morinellus	mornel	Rzadki/Sporadyczny
Common Ringed Plover	Charadrius hiaticula	sieweczka obrożna	
Semipalmated Plover	Charadrius semipalmatus	sieweczka skąpopłetwa	Rzadki/Sporadyczny
Little Ringed Plover	Thinornis dubius	sieweczka rzeczna	
Northern Lapwing	Vanellus vanellus	czajka	Prawie zagrozony
Spur-winged Lapwing	Vanellus spinosus	czajka szponiasta	Rzadki/Sporadyczny
Sociable Lapwing	Vanellus gregarius	czajka towarzyska	Rzadki/Sporadyczny Zagrozony krytycznie
White-tailed Lapwing	Vanellus leucurus	czajka stepowa	Rzadki/Sporadyczny
Caspian Plover	Anarhynchus asiaticus	sieweczka długonoga	Rzadki/Sporadyczny
Tibetan Sand-Plover	Anarhynchus atrifrons	sieweczka himalajska	Rzadki/Sporadyczny
Greater Sand-Plover	Anarhynchus leschenaultii	sieweczka pustynna	Rzadki/Sporadyczny
Kentish Plover	Anarhynchus alexandrinus	sieweczka morska	Rzadki/Sporadyczny
Whimbrel	Numenius phaeopus	kulik mniejszy	
Slender-billed Curlew	Numenius tenuirostris	kulik cienkodzioby	Rzadki/Sporadyczny Zagrozony krytycznie
Eurasian Curlew	Numenius arquata	kulik wielki	Prawie zagrozony
Bar-tailed Godwit	Limosa lapponica	szlamnik	Prawie zagrozony
Black-tailed Godwit	Limosa limosa	rycyk	Prawie zagrozony
Long-billed Dowitcher	Limnodromus scolopaceus	szlamiec długodzioby	Rzadki/Sporadyczny Prawie zagrozony
Jack Snipe	Lymnocryptes minimus	bekasik	
Eurasian Woodcock	Scolopax rusticola	słonka	
Great Snipe	Gallinago media	dubelt	Prawie zagrozony
Common Snipe	Gallinago gallinago	kszyk	
Red Phalarope	Phalaropus fulicarius	płatkonóg płaskodzioby	Rzadki/Sporadyczny
Red-necked Phalarope	Phalaropus lobatus	płatkonóg szydłodzioby	
Terek Sandpiper	Xenus cinereus	terekia	Rzadki/Sporadyczny
Common Sandpiper	Actitis hypoleucos	brodziec piskliwy	
Spotted Sandpiper	Actitis macularius	brodziec plamisty	Rzadki/Sporadyczny
Green Sandpiper	Tringa ochropus	samotnik	
Marsh Sandpiper	Tringa stagnatilis	brodziec pławny	
Wood Sandpiper	Tringa glareola	łęczak	
Common Redshank	Tringa totanus	krwawodziób	
Lesser Yellowlegs	Tringa flavipes	brodziec żółtonogi	Rzadki/Sporadyczny Potencjalnie zagrozony
Spotted Redshank	Tringa erythropus	brodziec śniady	
Common Greenshank	Tringa nebularia	kwokacz	
Greater Yellowlegs	Tringa melanoleuca	brodziec piegowaty	Rzadki/Sporadyczny Prawie zagrozony
Ruddy Turnstone	Arenaria interpres	kamusznik	Prawie zagrozony
Great Knot	Calidris tenuirostris	biegus wielki	Rzadki/Sporadyczny Zagrozony
Red Knot	Calidris canutus	biegus rdzawy	Prawie zagrozony
Ruff	Calidris pugnax	batalion	
Broad-billed Sandpiper	Calidris falcinellus	biegus płaskodzioby	Potencjalnie zagrozony
Sharp-tailed Sandpiper	Calidris acuminata	biegus ostrosterny	Rzadki/Sporadyczny Potencjalnie zagrozony
Curlew Sandpiper	Calidris ferruginea	biegus krzywodzioby	Potencjalnie zagrozony
Stilt Sandpiper	Calidris himantopus	biegus brodźcowaty	Rzadki/Sporadyczny Prawie zagrozony
Temminck's Stint	Calidris temminckii	biegus mały	
Buff-breasted Sandpiper	Calidris subruficollis	biegus płowy	Rzadki/Sporadyczny Potencjalnie zagrozony
Sanderling	Calidris alba	piaskowiec	
Dunlin	Calidris alpina	biegus zmienny	Prawie zagrozony
Purple Sandpiper	Calidris maritima	biegus morski	Rzadki/Sporadyczny
Baird's Sandpiper	Calidris bairdii	biegus długoskrzydły	Rzadki/Sporadyczny
Little Stint	Calidris minuta	biegus malutki	
White-rumped Sandpiper	Calidris fuscicollis	biegus białorzytny	Rzadki/Sporadyczny Potencjalnie zagrozony
Least Sandpiper	Calidris minutilla	biegus karłowaty	Rzadki/Sporadyczny Prawie zagrozony
Pectoral Sandpiper	Calidris melanotos	biegus arktyczny	Rzadki/Sporadyczny
Semipalmated Sandpiper	Calidris pusilla	biegus tundrowy	Rzadki/Sporadyczny Prawie zagrozony
Collared Pratincole	Glareola pratincola	żwirowiec łąkowy	Rzadki/Sporadyczny
Black-winged Pratincole	Glareola nordmanni	żwirowiec stepowy	Rzadki/Sporadyczny Prawie zagrozony
Long-tailed Jaeger	Stercorarius longicaudus	wydrzyk długosterny	Rzadki/Sporadyczny
Parasitic Jaeger	Stercorarius parasiticus	wydrzyk ostrosterny	
Pomarine Jaeger	Stercorarius pomarinus	wydrzyk tęposterny	Rzadki/Sporadyczny
Great Skua	Stercorarius skua	wydrzyk wielki	Rzadki/Sporadyczny
Atlantic Puffin	Fratercula arctica	maskonur	Rzadki/Sporadyczny Potencjalnie zagrozony
Black Guillemot	Cepphus grylle	nurnik	
Razorbill	Alca torda	alka	
Dovekie	Alle alle	alczyk	Rzadki/Sporadyczny
Thick-billed Murre	Uria lomvia	nurzyk polarny	Rzadki/Sporadyczny
Common Murre	Uria aalge	nurzyk	
Little Gull	Hydrocoloeus minutus	mewa mała	
Ross's Gull	Rhodostethia rosea	mewa różowa	Rzadki/Sporadyczny
Black-legged Kittiwake	Rissa tridactyla	mewa trójpalczasta	Rzadki/Sporadyczny Potencjalnie zagrozony
Ivory Gull	Pagophila eburnea	mewa modrodzioba	Rzadki/Sporadyczny Prawie zagrozony
Sabine's Gull	Xema sabini	mewa obrożna	Rzadki/Sporadyczny
Slender-billed Gull	Chroicocephalus genei	mewa cienkodzioba	Rzadki/Sporadyczny
Black-headed Gull	Chroicocephalus ridibundus	śmieszka	
Laughing Gull	Leucophaeus atricilla	mewa karaibska	Rzadki/Sporadyczny
Franklin's Gull	Leucophaeus pipixcan	mewa preriowa	Rzadki/Sporadyczny
Pallas's Gull	Ichthyaetus ichthyaetus	orlica	Rzadki/Sporadyczny
Audouin's Gull	Ichthyaetus audouinii	mewa śródziemnomorska	Rzadki/Sporadyczny Potencjalnie zagrozony
Mediterranean Gull	Ichthyaetus melanocephalus	mewa czarnogłowa	
Common Gull	Larus canus	mewa siwa	
Ring-billed Gull	Larus delawarensis	mewa delawarska	Rzadki/Sporadyczny
Caspian Gull	Larus cachinnans	mewa białogłowa	
American Herring Gull	Larus smithsonianus	mewa popielata	Rzadki/Sporadyczny
European Herring Gull	Larus argentatus	mewa srebrzysta	
Yellow-legged Gull	Larus michahellis	mewa romańska	
Great Black-backed Gull	Larus marinus	mewa siodłata	
Glaucous Gull	Larus hyperboreus	mewa blada	Rzadki/Sporadyczny
Lesser Black-backed Gull	Larus fuscus	mewa żółtonoga	
Slaty-backed Gull	Larus schistisagus	mewa ochocka	Rzadki/Sporadyczny
Iceland Gull	Larus glaucoides	mewa polarna	
Little Tern	Sternula albifrons	rybitwa białoczelna	
Gull-billed Tern	Gelochelidon nilotica	rybitwa krótkodzioba	Rzadki/Sporadyczny
Caspian Tern	Hydroprogne caspia	rybitwa wielkodzioba	
Whiskered Tern	Chlidonias hybrida	rybitwa białowąsa	Rzadki/Sporadyczny
Black Tern	Chlidonias niger	rybitwa czarna	
White-winged Tern	Chlidonias leucopterus	rybitwa białoskrzydła	
Arctic Tern	Sterna paradisaea	rybitwa popielata	Rzadki/Sporadyczny
Common Tern	Sterna hirundo	rybitwa rzeczna	
Roseate Tern	Sterna dougallii	rybitwa różowa	Rzadki/Sporadyczny
Sandwich Tern	Thalasseus sandvicensis	rybitwa czubata	
Greater Flamingo	Phoenicopterus roseus	flaming różowy	Rzadki/Sporadyczny
Little Grebe	Tachybaptus ruficollis	perkozek	
Pied-billed Grebe	Podilymbus podiceps	perkoz grubodzioby	Rzadki/Sporadyczny
Horned Grebe	Podiceps auritus	perkoz rogaty	Potencjalnie zagrozony
Red-necked Grebe	Podiceps grisegena	perkoz rdzawoszyi	
Great Crested Grebe	Podiceps cristatus	perkoz dwuczuby	
Eared Grebe	Podiceps nigricollis	zausznik	
Red-throated Loon	Gavia stellata	nur rdzawoszyi	
Arctic Loon	Gavia arctica	nur czarnoszyi	
Pacific Loon	Gavia pacifica	nur pacyficzny	Rzadki/Sporadyczny
Common Loon	Gavia immer	lodowiec	Rzadki/Sporadyczny
Yellow-billed Loon	Gavia adamsii	nur białodzioby	Rzadki/Sporadyczny Prawie zagrozony
Wilson's Storm-Petrel	Oceanites oceanicus	oceannik żółtopłetwy	Rzadki/Sporadyczny
European Storm-Petrel	Hydrobates pelagicus	nawałnik burzowy	Rzadki/Sporadyczny
Leach's Storm-Petrel	Hydrobates leucorhous	nawałnik duży	Rzadki/Sporadyczny Potencjalnie zagrozony
Northern Fulmar	Fulmarus glacialis	fulmar	Rzadki/Sporadyczny
Scopoli's Shearwater	Calonectris diomedea	burzyk żółtodzioby	Rzadki/Sporadyczny
Sooty Shearwater	Ardenna grisea	burzyk szary	Rzadki/Sporadyczny Prawie zagrozony
Manx Shearwater	Puffinus puffinus	burzyk północny	Rzadki/Sporadyczny
Balearic Shearwater	Puffinus mauretanicus	burzyk balearski	Rzadki/Sporadyczny Zagrozony krytycznie
Black Stork	Ciconia nigra	bocian czarny	
White Stork	Ciconia ciconia	bocian biały	
Northern Gannet	Morus bassanus	głuptak	Rzadki/Sporadyczny
Brown Booby	Sula leucogaster	gluptak bialobrzuchy	Rzadki/Sporadyczny
Pygmy Cormorant	Microcarbo pygmaeus	kormoran mały	Rzadki/Sporadyczny
Great Cormorant	Phalacrocorax carbo	kormoran	
European Shag	Gulosus aristotelis	kormoran czubaty	Rzadki/Sporadyczny
Glossy Ibis	Plegadis falcinellus	ibis kasztanowaty	Rzadki/Sporadyczny
African Sacred Ibis	Threskiornis aethiopicus	ibis czczony	Rzadki/Sporadyczny
Northern Bald Ibis	Geronticus eremita	ibis grzywiasty	Wprowadzony gatunek Zagrozony
Eurasian Spoonbill	Platalea leucorodia	warzęcha	Rzadki/Sporadyczny
Great White Pelican	Pelecanus onocrotalus	pelikan różowy	Rzadki/Sporadyczny
Dalmatian Pelican	Pelecanus crispus	pelikan kędzierzawy	Rzadki/Sporadyczny Prawie zagrozony
Eurasian Bittern	Botaurus stellaris	bąk	
Little Bittern	Botaurus minutus	bączek	
Black-crowned Night Heron	Nycticorax nycticorax	ślepowron	
Little Egret	Egretta garzetta	czapla nadobna	Rzadki/Sporadyczny
Squacco Heron	Ardeola ralloides	czapla modronosa	Rzadki/Sporadyczny
Western Cattle-Egret	Ardea ibis	czapla złotawa	Rzadki/Sporadyczny
Great Egret	Ardea alba	czapla biała	Rzadki/Sporadyczny
Gray Heron	Ardea cinerea	czapla siwa	
Purple Heron	Ardea purpurea	czapla purpurowa	Rzadki/Sporadyczny
Osprey	Pandion haliaetus	rybołów	
Black-winged Kite	Elanus caeruleus	kaniuk	Rzadki/Sporadyczny
Bearded Vulture	Gypaetus barbatus	orłosęp	Rzadki/Sporadyczny Prawie zagrozony
Egyptian Vulture	Neophron percnopterus	ścierwnik	Rzadki/Sporadyczny Zagrozony
European Honey-buzzard	Pernis apivorus	trzmielojad	
Cinereous Vulture	Aegypius monachus	sęp kasztanowaty	Rzadki/Sporadyczny Prawie zagrozony
Rüppell's Griffon	Gyps rueppelli	sęp plamisty	Niepewne pochodzenie Zagrozony krytycznie
Eurasian Griffon	Gyps fulvus	sęp płowy	Rzadki/Sporadyczny
Short-toed Snake-Eagle	Circaetus gallicus	gadożer	
Lesser Spotted Eagle	Clanga pomarina	orlik krzykliwy	
Greater Spotted Eagle	Clanga clanga	orlik grubodzioby	Potencjalnie zagrozony
Booted Eagle	Hieraaetus pennatus	orzełek	
Steppe Eagle	Aquila nipalensis	orzeł stepowy	Rzadki/Sporadyczny Zagrozony
Imperial Eagle	Aquila heliaca	orzeł cesarski	Rzadki/Sporadyczny Potencjalnie zagrozony
Golden Eagle	Aquila chrysaetos	orzeł przedni	
Bonelli's Eagle	Aquila fasciata	orzeł południowy	Rzadki/Sporadyczny
Levant Sparrowhawk	Tachyspiza brevipes	krogulec krótkonogi	Rzadki/Sporadyczny
Eurasian Sparrowhawk	Accipiter nisus	krogulec	
Eurasian Goshawk	Astur gentilis	jastrząb (zwyczajny)	
Western Marsh Harrier	Circus aeruginosus	błotniak stawowy	
Hen Harrier	Circus cyaneus	błotniak zbożowy	
Pallid Harrier	Circus macrourus	błotniak stepowy	Prawie zagrozony
Montagu's Harrier	Circus pygargus	błotniak łąkowy	
Red Kite	Milvus milvus	kania ruda	
Black Kite	Milvus migrans	kania czarna	
White-tailed Eagle	Haliaeetus albicilla	bielik	
Pallas's Fish-Eagle	Haliaeetus leucoryphus	bielik wschodni	Rzadki/Sporadyczny Zagrozony
Rough-legged Hawk	Buteo lagopus	myszołów włochaty	
Common Buzzard	Buteo buteo	myszołów	
Long-legged Buzzard	Buteo rufinus	kurhannik	Rzadki/Sporadyczny
Western Barn Owl	Tyto alba	płomykówka (zwyczajna)	
Eurasian Scops-Owl	Otus scops	syczek	
Snowy Owl	Bubo scandiacus	sowa śnieżna	Rzadki/Sporadyczny Potencjalnie zagrozony
Eurasian Eagle-Owl	Bubo bubo	puchacz	
Northern Hawk Owl	Surnia ulula	sowa jarzębata	Rzadki/Sporadyczny
Eurasian Pygmy-Owl	Glaucidium passerinum	sóweczka	
Little Owl	Athene noctua	pójdźka	
Tawny Owl	Strix aluco	puszczyk	
Ural Owl	Strix uralensis	puszczyk uralski	
Great Gray Owl	Strix nebulosa	puszczyk mszarny	
Long-eared Owl	Asio otus	uszatka	
Short-eared Owl	Asio flammeus	uszatka błotna	
Boreal Owl	Aegolius funereus	włochatka	
Eurasian Hoopoe	Upupa epops	dudek	
European Bee-eater	Merops apiaster	żołna	
Common Kingfisher	Alcedo atthis	zimorodek	
Pied Kingfisher	Ceryle rudis	rybaczek srokaty	Rzadki/Sporadyczny
European Roller	Coracias garrulus	kraska	
Eurasian Wryneck	Jynx torquilla	krętogłów	
Eurasian Three-toed Woodpecker	Picoides tridactylus	dzięcioł trójpalczasty	
Middle Spotted Woodpecker	Dendrocoptes medius	dzięcioł średni	
White-backed Woodpecker	Dendrocopos leucotos	dzięcioł białogrzbiety	
Great Spotted Woodpecker	Dendrocopos major	dzięcioł duży	
Syrian Woodpecker	Dendrocopos syriacus	dzięcioł białoszyi	
Lesser Spotted Woodpecker	Dryobates minor	dzięciołek	
Gray-headed Woodpecker	Picus canus	dzięcioł zielonosiwy	
Eurasian Green Woodpecker	Picus viridis	dzięcioł zielony	
Black Woodpecker	Dryocopus martius	dzięcioł czarny	
Lesser Kestrel	Falco naumanni	pustułeczka	Rzadki/Sporadyczny
Eurasian Kestrel	Falco tinnunculus	pustułka	
Red-footed Falcon	Falco vespertinus	kobczyk	Potencjalnie zagrozony
Eleonora's Falcon	Falco eleonorae	sokół skalny	Rzadki/Sporadyczny
Merlin	Falco columbarius	drzemlik	
Eurasian Hobby	Falco subbuteo	kobuz	
Saker Falcon	Falco cherrug	raróg	Rzadki/Sporadyczny Zagrozony
Gyrfalcon	Falco rusticolus	białozór	Rzadki/Sporadyczny
Peregrine Falcon	Falco peregrinus	sokół wędrowny	
Red-eyed Vireo	Vireo olivaceus	wireonek czerwonooki	Rzadki/Sporadyczny
Eurasian Golden Oriole	Oriolus oriolus	wilga	
Red-backed Shrike	Lanius collurio	gąsiorek	
Red-tailed Shrike	Lanius phoenicuroides	dzierzba rdzawosterna	Rzadki/Sporadyczny
Isabelline Shrike	Lanius isabellinus	dzierzba pustynna	Rzadki/Sporadyczny
Northern Shrike	Lanius borealis	srokosz północny	Rzadki/Sporadyczny
Great Gray Shrike	Lanius excubitor	srokosz	
Lesser Gray Shrike	Lanius minor	dzierzba czarnoczelna	
Woodchat Shrike	Lanius senator	dzierzba rudogłowa	Prawie zagrozony
Siberian Jay	Perisoreus infaustus	sójka syberyjska	Rzadki/Sporadyczny
Eurasian Jay	Garrulus glandarius	sójka	
Eurasian Magpie	Pica pica	sroka	
Northern Nutcracker	Nucifraga caryocatactes	orzechówka (zwyczajna)	
Yellow-billed Chough	Pyrrhocorax graculus	wieszczek	Rzadki/Sporadyczny
Eurasian Jackdaw	Coloeus monedula	kawka	
Rook	Corvus frugilegus	gawron	
Carrion Crow	Corvus corone	czarnowron	
Hooded Crow	Corvus cornix	wrona siwa	
Common Raven	Corvus corax	kruk	
Coal Tit	Periparus ater	sosnówka	
Crested Tit	Lophophanes cristatus	czubatka	
Marsh Tit	Poecile palustris	sikora uboga	
Willow Tit	Poecile montanus	czarnogłówka	
Eurasian Blue Tit	Cyanistes caeruleus	modraszka	
Azure Tit	Cyanistes cyanus	sikora lazurowa	Rzadki/Sporadyczny
Great Tit	Parus major	bogatka	
Eurasian Penduline-Tit	Remiz pendulinus	remiz	
Wood Lark	Lullula arborea	lerka	
